date,r_phase_voltage,y_phase_voltage,b_phase_voltage,r_phase_current,y_phase_current,b_phase_current,r_phase_active_power,y_phase_active_power,b_phase_active_power,average_voltage,average_current,total_active_power,frequency,cumulative_energy_KWh,power_mega_kilo,total_power_factor
2019-03-24 00:00:49.0,236.84,237.3,241.5,2.751,0,4.864,0.6392,0.0342,1.1595,238.54,2.538,1.8331,50.1,40437.7,0,-0.99
2019-03-24 00:00:49.0,236.84,237.3,241.5,2.751,0,4.864,0.6392,0.0342,1.1595,238.54,2.538,1.8331,50.1,40437.7,0,-0.99
2019-03-24 00:00:49.0,236.84,237.3,241.5,2.751,0,4.864,0.6392,0.0342,1.1595,238.54,2.538,1.8331,50.1,40437.7,0,-0.99
2019-03-24 00:00:49.0,236.84,237.3,241.5,2.751,0,4.864,0.6392,0.0342,1.1595,238.54,2.538,1.8331,50.1,40437.7,0,-0.99
2019-03-24 00:00:49.0,236.84,237.3,241.5,2.751,0,4.864,0.6392,0.0342,1.1595,238.54,2.538,1.8331,50.1,40437.7,0,-0.99
2019-03-24 00:10:49.0,236.49,237.13,241.12,2.74,0,4.88,0.6367,0.0346,1.1577,238.25,2.54,1.8291,50.01,40438,0,-0.99
2019-03-24 00:10:49.0,236.49,237.13,241.12,2.74,0,4.88,0.6367,0.0346,1.1577,238.25,2.54,1.8291,50.01,40438,0,-0.99
2019-03-24 00:10:49.0,236.49,237.13,241.12,2.74,0,4.88,0.6367,0.0346,1.1577,238.25,2.54,1.8291,50.01,40438,0,-0.99
2019-03-24 00:10:49.0,236.49,237.13,241.12,2.74,0,4.88,0.6367,0.0346,1.1577,238.25,2.54,1.8291,50.01,40438,0,-0.99
2019-03-24 00:10:49.0,236.49,237.13,241.12,2.74,0,4.88,0.6367,0.0346,1.1577,238.25,2.54,1.8291,50.01,40438,0,-0.99
2019-03-24 00:15:49.0,236.62,237.42,241.26,2.747,0,4.853,0.636,0.0343,1.1594,238.43,2.533,1.8298,49.99,40438.2,0,-0.99
2019-03-24 00:15:49.0,236.62,237.42,241.26,2.747,0,4.853,0.636,0.0343,1.1594,238.43,2.533,1.8298,49.99,40438.2,0,-0.99
2019-03-24 00:15:49.0,236.62,237.42,241.26,2.747,0,4.853,0.636,0.0343,1.1594,238.43,2.533,1.8298,49.99,40438.2,0,-0.99
2019-03-24 00:15:49.0,236.62,237.42,241.26,2.747,0,4.853,0.636,0.0343,1.1594,238.43,2.533,1.8298,49.99,40438.2,0,-0.99
2019-03-24 00:15:49.0,236.62,237.42,241.26,2.747,0,4.853,0.636,0.0343,1.1594,238.43,2.533,1.8298,49.99,40438.2,0,-0.99
2019-03-24 00:20:49.0,237.01,237.4,241.51,2.744,0,4.869,0.6381,0.0343,1.16,238.64,2.537,1.8326,50.03,40438.3,0,-0.99
2019-03-24 00:20:49.0,237.01,237.4,241.51,2.744,0,4.869,0.6381,0.0343,1.16,238.64,2.537,1.8326,50.03,40438.3,0,-0.99
2019-03-24 00:20:49.0,237.01,237.4,241.51,2.744,0,4.869,0.6381,0.0343,1.16,238.64,2.537,1.8326,50.03,40438.3,0,-0.99
2019-03-24 00:20:49.0,237.01,237.4,241.51,2.744,0,4.869,0.6381,0.0343,1.16,238.64,2.537,1.8326,50.03,40438.3,0,-0.99
2019-03-24 00:20:49.0,237.01,237.4,241.51,2.744,0,4.869,0.6381,0.0343,1.16,238.64,2.537,1.8326,50.03,40438.3,0,-0.99
2019-03-24 00:25:49.0,236.78,237.35,241.46,2.744,0,4.86,0.6373,0.0345,1.1594,238.53,2.534,1.8313,50.02,40438.5,0,-0.99
2019-03-24 00:25:49.0,236.78,237.35,241.46,2.744,0,4.86,0.6373,0.0345,1.1594,238.53,2.534,1.8313,50.02,40438.5,0,-0.99
2019-03-24 00:25:49.0,236.78,237.35,241.46,2.744,0,4.86,0.6373,0.0345,1.1594,238.53,2.534,1.8313,50.02,40438.5,0,-0.99
2019-03-24 00:25:49.0,236.78,237.35,241.46,2.744,0,4.86,0.6373,0.0345,1.1594,238.53,2.534,1.8313,50.02,40438.5,0,-0.99
